rank,title,artist,genre,weeks_on_chart,date,week_number,year
81,Anti-Hero,Miley Cyrus,R&B/Soul,11,2025-02-05,6,2025
82,About Damn Time,Morgan Wallen,Hip-Hop/Rap,16,2025-02-05,6,2025
83,Unholy,Ariana Grande,R&B/Soul,2,2025-02-05,6,2025
84,Dynamite,The Weeknd,Pop,6,2025-02-05,6,2025
85,About Damn Time,Lizzo,R&B/Soul,7,2025-02-05,6,2025
86,Dynamite,Billie Eilish,Alternative,5,2025-02-05,6,2025
87,Vampire,Billie Eilish,Rock,19,2025-02-05,6,2025
88,Kill Bill,Blackpink,Rock,11,2025-02-05,6,2025
89,Flowers,Justin Bieber,Hip-Hop/Rap,6,2025-02-05,6,2025
90,Vampire,Taylor Swift,Pop,20,2025-02-05,6,2025
91,Anti-Hero,Justin Bieber,Pop,3,2025-02-05,6,2025
92,Vampire,Blackpink,Country,15,2025-02-05,6,2025
93,Dynamite,Drake,Country,16,2025-02-05,6,2025
94,As It Was,Dua Lipa,Rock,13,2025-02-05,6,2025
95,Flowers,Morgan Wallen,R&B/Soul,8,2025-02-05,6,2025
96,Dynamite,Morgan Wallen,R&B/Soul,2,2025-02-05,6,2025
97,Pink Venom,Bad Bunny,Country,20,2025-02-05,6,2025
98,Last Night,Morgan Wallen,Rock,13,2025-02-05,6,2025
99,Pink Venom,Billie Eilish,Country,5,2025-02-05,6,2025
100,Late Night Talking,Morgan Wallen,R&B/Soul,16,2025-02-05,6,2025
1,Hold Me Closer,Post Malone,R&B/Soul,18,2025-02-12,7,2025
2,Hold Me Closer,Lizzo,Pop,11,2025-02-12,7,2025
3,Vampire,The Weeknd,Hip-Hop/Rap,7,2025-02-12,7,2025
4,Hold Me Closer,BTS,Pop,2,2025-02-12,7,2025
5,Dynamite,Lil Baby,Pop,17,2025-02-12,7,2025
6,Vampire,Dua Lipa,Rock,18,2025-02-12,7,2025
7,Unholy,Drake,Pop,1,2025-02-12,7,2025
8,Late Night Talking,BTS,Pop,2,2025-02-12,7,2025
9,Flowers,Billie Eilish,Hip-Hop/Rap,15,2025-02-12,7,2025
10,Hold Me Closer,Ed Sheeran,R&B/Soul,16,2025-02-12,7,2025
11,Vampire,Olivia Rodrigo,Hip-Hop/Rap,4,2025-02-12,7,2025
12,Pink Venom,Billie Eilish,Hip-Hop/Rap,4,2025-02-12,7,2025
13,Break My Soul,Doja Cat,Hip-Hop/Rap,16,2025-02-12,7,2025
14,Hold Me Closer,Billie Eilish,Pop,8,2025-02-12,7,2025
15,Kill Bill,Olivia Rodrigo,R&B/Soul,7,2025-02-12,7,2025
16,Unholy,The Weeknd,Country,18,2025-02-12,7,2025
17,Last Night,Dua Lipa,R&B/Soul,15,2025-02-12,7,2025
18,Unholy,Dua Lipa,Pop,2,2025-02-12,7,2025
19,Vampire,Bad Bunny,Hip-Hop/Rap,5,2025-02-12,7,2025
20,Late Night Talking,Ed Sheeran,Hip-Hop/Rap,15,2025-02-12,7,2025
21,HUMBLE.,The Weeknd,Pop,6,2025-02-12,7,2025
22,Late Night Talking,Drake,Rock,13,2025-02-12,7,2025
23,About Damn Time,Bad Bunny,Country,7,2025-02-12,7,2025
24,Kill Bill,Kendrick Lamar,Hip-Hop/Rap,12,2025-02-12,7,2025
25,Anti-Hero,Ed Sheeran,Pop,9,2025-02-12,7,2025
26,Late Night Talking,Blackpink,Pop,18,2025-02-12,7,2025
27,Break My Soul,Ariana Grande,Hip-Hop/Rap,10,2025-02-12,7,2025
28,Vampire,Lil Baby,R&B/Soul,4,2025-02-12,7,2025
29,About Damn Time,The Weeknd,Pop,13,2025-02-12,7,2025
30,Dynamite,Miley Cyrus,Country,16,2025-02-12,7,2025
31,As It Was,Lil Baby,Pop,1,2025-02-12,7,2025
32,Hold Me Closer,Morgan Wallen,R&B/Soul,8,2025-02-12,7,2025
33,Late Night Talking,Taylor Swift,R&B/Soul,15,2025-02-12,7,2025
34,Late Night Talking,Post Malone,Hip-Hop/Rap,19,2025-02-12,7,2025
35,Hold Me Closer,Post Malone,Hip-Hop/Rap,12,2025-02-12,7,2025
36,Hold Me Closer,Ed Sheeran,Country,19,2025-02-12,7,2025
37,As It Was,Miley Cyrus,Pop,20,2025-02-12,7,2025
38,About Damn Time,Taylor Swift,Hip-Hop/Rap,18,2025-02-12,7,2025
39,Dynamite,Blackpink,Rock,4,2025-02-12,7,2025
40,Kill Bill,The Weeknd,Pop,16,2025-02-12,7,2025
41,Pink Venom,Miley Cyrus,Hip-Hop/Rap,8,2025-02-12,7,2025
42,As It Was,The Weeknd,Hip-Hop/Rap,16,2025-02-12,7,2025
43,Flowers,Dua Lipa,R&B/Soul,10,2025-02-12,7,2025
44,Anti-Hero,Morgan Wallen,Pop,17,2025-02-12,7,2025
45,Break My Soul,Olivia Rodrigo,Hip-Hop/Rap,13,2025-02-12,7,2025
46,Pink Venom,Billie Eilish,Hip-Hop/Rap,8,2025-02-12,7,2025
47,Vampire,The Weeknd,Pop,1,2025-02-12,7,2025
48,Flowers,Kendrick Lamar,R&B/Soul,19,2025-02-12,7,2025
49,About Damn Time,Morgan Wallen,Hip-Hop/Rap,3,2025-02-12,7,2025
50,Hold Me Closer,The Weeknd,Hip-Hop/Rap,16,2025-02-12,7,2025
51,Late Night Talking,Bad Bunny,Pop,7,2025-02-12,7,2025
52,Break My Soul,Ariana Grande,R&B/Soul,11,2025-02-12,7,2025
53,About Damn Time,Kendrick Lamar,Country,3,2025-02-12,7,2025
54,Dynamite,Harry Styles,Country,11,2025-02-12,7,2025
55,Vampire,The Weeknd,Hip-Hop/Rap,18,2025-02-12,7,2025
56,Anti-Hero,Doja Cat,R&B/Soul,7,2025-02-12,7,2025
57,Unholy,Kendrick Lamar,R&B/Soul,19,2025-02-12,7,2025
58,About Damn Time,Justin Bieber,Hip-Hop/Rap,11,2025-02-12,7,2025
59,About Damn Time,Lil Baby,Pop,4,2025-02-12,7,2025
60,Pink Venom,Justin Bieber,Rock,9,2025-02-12,7,2025
61,Unholy,Blackpink,R&B/Soul,19,2025-02-12,7,2025
62,As It Was,Bad Bunny,R&B/Soul,14,2025-02-12,7,2025
63,Vampire,Taylor Swift,Alternative,14,2025-02-12,7,2025
64,Late Night Talking,Lil Baby,Pop,8,2025-02-12,7,2025
65,About Damn Time,Ariana Grande,Hip-Hop/Rap,20,2025-02-12,7,2025
66,Unholy,Kendrick Lamar,Pop,12,2025-02-12,7,2025
67,Pink Venom,Kendrick Lamar,Pop,10,2025-02-12,7,2025
68,Flowers,Lizzo,Rock,17,2025-02-12,7,2025
69,HUMBLE.,Justin Bieber,Hip-Hop/Rap,20,2025-02-12,7,2025
70,Vampire,Dua Lipa,Pop,12,2025-02-12,7,2025
71,Pink Venom,Olivia Rodrigo,R&B/Soul,5,2025-02-12,7,2025
72,Unholy,The Weeknd,Hip-Hop/Rap,1,2025-02-12,7,2025
73,Unholy,Blackpink,Hip-Hop/Rap,11,2025-02-12,7,2025
74,Unholy,Olivia Rodrigo,Rock,1,2025-02-12,7,2025
75,Late Night Talking,Harry Styles,R&B/Soul,6,2025-02-12,7,2025
76,Dynamite,Olivia Rodrigo,Rock,10,2025-02-12,7,2025
77,Last Night,Lil Baby,R&B/Soul,3,2025-02-12,7,2025
78,Pink Venom,Drake,Pop,8,2025-02-12,7,2025
79,Anti-Hero,Morgan Wallen,Country,6,2025-02-12,7,2025
80,Anti-Hero,Morgan Wallen,Pop,10,2025-02-12,7,2025
81,Break My Soul,Ed Sheeran,R&B/Soul,15,2025-02-12,7,2025
82,Anti-Hero,Lil Baby,Country,14,2025-02-12,7,2025
83,As It Was,Harry Styles,R&B/Soul,10,2025-02-12,7,2025
84,Unholy,Bad Bunny,Alternative,6,2025-02-12,7,2025
85,Late Night Talking,Olivia Rodrigo,Pop,11,2025-02-12,7,2025
86,Pink Venom,BTS,Pop,8,2025-02-12,7,2025
87,Unholy,Ed Sheeran,R&B/Soul,19,2025-02-12,7,2025
88,Late Night Talking,Harry Styles,Hip-Hop/Rap,20,2025-02-12,7,2025
89,Break My Soul,Ariana Grande,Hip-Hop/Rap,20,2025-02-12,7,2025
90,Hold Me Closer,Taylor Swift,Country,4,2025-02-12,7,2025
91,Flowers,Blackpink,Pop,16,2025-02-12,7,2025
92,As It Was,Drake,Pop,15,2025-02-12,7,2025
93,Unholy,Olivia Rodrigo,Hip-Hop/Rap,1,2025-02-12,7,2025
94,Hold Me Closer,Taylor Swift,Pop,12,2025-02-12,7,2025
95,Vampire,Lil Baby,Pop,9,2025-02-12,7,2025
96,Hold Me Closer,Billie Eilish,Country,2,2025-02-12,7,2025
97,Kill Bill,Post Malone,Pop,8,2025-02-12,7,2025
98,Unholy,Blackpink,Country,2,2025-02-12,7,2025
99,Hold Me Closer,Lil Baby,Alternative,6,2025-02-12,7,2025
100,About Damn Time,Billie Eilish,Hip-Hop/Rap,18,2025-02-12,7,2025
1,Kill Bill,Justin Bieber,Pop,2,2025-02-19,8,2025
2,Break My Soul,Lil Baby,Rock,7,2025-02-19,8,2025
3,Anti-Hero,Ed Sheeran,Hip-Hop/Rap,8,2025-02-19,8,2025
4,Late Night Talking,Miley Cyrus,Hip-Hop/Rap,17,2025-02-19,8,2025
5,About Damn Time,Taylor Swift,Hip-Hop/Rap,12,2025-02-19,8,2025
6,Break My Soul,Kendrick Lamar,R&B/Soul,17,2025-02-19,8,2025
7,Late Night Talking,Miley Cyrus,Pop,12,2025-02-19,8,2025
8,Hold Me Closer,Taylor Swift,Hip-Hop/Rap,15,2025-02-19,8,2025
9,Late Night Talking,Dua Lipa,Pop,1,2025-02-19,8,2025
10,Kill Bill,Doja Cat,Pop,8,2025-02-19,8,2025
11,As It Was,Lizzo,Pop,3,2025-02-19,8,2025
12,Flowers,Dua Lipa,Rock,19,2025-02-19,8,2025
13,HUMBLE.,Doja Cat,Hip-Hop/Rap,20,2025-02-19,8,2025
14,Dynamite,Morgan Wallen,R&B/Soul,16,2025-02-19,8,2025
15,Last Night,Blackpink,Hip-Hop/Rap,5,2025-02-19,8,2025
16,Flowers,Lizzo,Pop,10,2025-02-19,8,2025
17,About Damn Time,Lil Baby,Pop,19,2025-02-19,8,2025
18,Hold Me Closer,Justin Bieber,Pop,8,2025-02-19,8,2025
19,Hold Me Closer,Blackpink,Hip-Hop/Rap,9,2025-02-19,8,2025
20,Pink Venom,Justin Bieber,Pop,5,2025-02-19,8,2025
21,Late Night Talking,Blackpink,Hip-Hop/Rap,13,2025-02-19,8,2025
22,Kill Bill,Ed Sheeran,Pop,1,2025-02-19,8,2025
23,Unholy,Drake,Hip-Hop/Rap,10,2025-02-19,8,2025
24,Vampire,BTS,Pop,1,2025-02-19,8,2025
25,Hold Me Closer,The Weeknd,Pop,11,2025-02-19,8,2025
26,Hold Me Closer,Ed Sheeran,Pop,7,2025-02-19,8,2025
27,Pink Venom,Ariana Grande,Pop,3,2025-02-19,8,2025
28,Hold Me Closer,Kendrick Lamar,R&B/Soul,9,2025-02-19,8,2025
29,As It Was,Billie Eilish,Rock,8,2025-02-19,8,2025
30,Pink Venom,Bad Bunny,Pop,6,2025-02-19,8,2025
31,Flowers,Drake,Hip-Hop/Rap,20,2025-02-19,8,2025
32,As It Was,Kendrick Lamar,Hip-Hop/Rap,15,2025-02-19,8,2025
33,About Damn Time,The Weeknd,Pop,6,2025-02-19,8,2025
34,Dynamite,Ariana Grande,Rock,3,2025-02-19,8,2025
35,Hold Me Closer,Harry Styles,Hip-Hop/Rap,17,2025-02-19,8,2025
36,Hold Me Closer,Morgan Wallen,Pop,6,2025-02-19,8,2025
37,HUMBLE.,Bad Bunny,Rock,12,2025-02-19,8,2025
38,As It Was,Kendrick Lamar,R&B/Soul,19,2025-02-19,8,2025
39,As It Was,Miley Cyrus,Hip-Hop/Rap,10,2025-02-19,8,2025
40,As It Was,Kendrick Lamar,R&B/Soul,16,2025-02-19,8,2025
41,HUMBLE.,Justin Bieber,Hip-Hop/Rap,20,2025-02-19,8,2025
42,Vampire,Justin Bieber,Hip-Hop/Rap,8,2025-02-19,8,2025
43,About Damn Time,Taylor Swift,Pop,16,2025-02-19,8,2025
44,Hold Me Closer,Lizzo,Rock,10,2025-02-19,8,2025
45,Hold Me Closer,Miley Cyrus,Hip-Hop/Rap,8,2025-02-19,8,2025
46,Hold Me Closer,Miley Cyrus,Pop,7,2025-02-19,8,2025
47,Break My Soul,Drake,Country,16,2025-02-19,8,2025
48,As It Was,The Weeknd,Rock,8,2025-02-19,8,2025
49,Flowers,Doja Cat,Pop,7,2025-02-19,8,2025
50,Flowers,Ed Sheeran,Hip-Hop/Rap,4,2025-02-19,8,2025
51,Vampire,The Weeknd,Country,2,2025-02-19,8,2025
52,HUMBLE.,Morgan Wallen,Pop,3,2025-02-19,8,2025
53,Hold Me Closer,Morgan Wallen,Alternative,3,2025-02-19,8,2025
54,Anti-Hero,Billie Eilish,Alternative,2,2025-02-19,8,2025
55,About Damn Time,Post Malone,R&B/Soul,8,2025-02-19,8,2025
56,Late Night Talking,Blackpink,Hip-Hop/Rap,7,2025-02-19,8,2025
57,About Damn Time,Ariana Grande,Rock,12,2025-02-19,8,2025
58,About Damn Time,Billie Eilish,Country,5,2025-02-19,8,2025
59,Break My Soul,Kendrick Lamar,Alternative,3,2025-02-19,8,2025
60,Pink Venom,BTS,R&B/Soul,18,2025-02-19,8,2025
61,Kill Bill,Olivia Rodrigo,R&B/Soul,11,2025-02-19,8,2025
62,Late Night Talking,Blackpink,Pop,12,2025-02-19,8,2025
63,HUMBLE.,Dua Lipa,Rock,5,2025-02-19,8,2025
64,As It Was,Drake,Hip-Hop/Rap,1,2025-02-19,8,2025
65,Unholy,Blackpink,Alternative,17,2025-02-19,8,2025
66,Hold Me Closer,Morgan Wallen,Rock,1,2025-02-19,8,2025
67,Hold Me Closer,Miley Cyrus,R&B/Soul,18,2025-02-19,8,2025
68,Hold Me Closer,Bad Bunny,Pop,1,2025-02-19,8,2025
69,About Damn Time,Morgan Wallen,Pop,5,2025-02-19,8,2025
70,Last Night,Ariana Grande,Country,10,2025-02-19,8,2025
71,Late Night Talking,Blackpink,Country,13,2025-02-19,8,2025
72,Hold Me Closer,BTS,Alternative,5,2025-02-19,8,2025
73,Hold Me Closer,Kendrick Lamar,Alternative,14,2025-02-19,8,2025
74,About Damn Time,Justin Bieber,Hip-Hop/Rap,18,2025-02-19,8,2025
75,Unholy,Justin Bieber,Pop,6,2025-02-19,8,2025
76,Kill Bill,Taylor Swift,Rock,3,2025-02-19,8,2025
77,Late Night Talking,Morgan Wallen,R&B/Soul,19,2025-02-19,8,2025
78,Anti-Hero,Billie Eilish,Alternative,3,2025-02-19,8,2025
79,Anti-Hero,Kendrick Lamar,Hip-Hop/Rap,11,2025-02-19,8,2025
80,Hold Me Closer,Ariana Grande,Hip-Hop/Rap,19,2025-02-19,8,2025
81,Hold Me Closer,Lil Baby,Pop,11,2025-02-19,8,2025
82,Vampire,The Weeknd,Country,3,2025-02-19,8,2025
83,As It Was,Justin Bieber,Pop,11,2025-02-19,8,2025
84,HUMBLE.,Ariana Grande,Country,19,2025-02-19,8,2025
85,Late Night Talking,Kendrick Lamar,Pop,19,2025-02-19,8,2025
86,Anti-Hero,Doja Cat,Pop,8,2025-02-19,8,2025
87,Late Night Talking,Taylor Swift,R&B/Soul,6,2025-02-19,8,2025
88,About Damn Time,Drake,Pop,8,2025-02-19,8,2025
89,Break My Soul,Morgan Wallen,R&B/Soul,18,2025-02-19,8,2025
90,Last Night,Harry Styles,R&B/Soul,15,2025-02-19,8,2025
91,Unholy,Dua Lipa,Pop,13,2025-02-19,8,2025
92,Last Night,Miley Cyrus,Pop,9,2025-02-19,8,2025
93,Hold Me Closer,Lil Baby,Pop,17,2025-02-19,8,2025
94,Late Night Talking,Doja Cat,Pop,11,2025-02-19,8,2025
95,Dynamite,Post Malone,R&B/Soul,13,2025-02-19,8,2025
96,Pink Venom,BTS,R&B/Soul,3,2025-02-19,8,2025
97,Late Night Talking,BTS,Rock,13,2025-02-19,8,2025
98,Kill Bill,Ed Sheeran,Hip-Hop/Rap,5,2025-02-19,8,2025
99,Hold Me Closer,Post Malone,Pop,5,2025-02-19,8,2025
100,Break My Soul,Ed Sheeran,Country,17,2025-02-19,8,2025
1,Anti-Hero,Lizzo,Pop,13,2025-02-26,9,2025
2,Dynamite,Blackpink,Hip-Hop/Rap,17,2025-02-26,9,2025
3,Pink Venom,Ariana Grande,R&B/Soul,9,2025-02-26,9,2025
4,About Damn Time,Ariana Grande,Hip-Hop/Rap,15,2025-02-26,9,2025
5,About Damn Time,Drake,R&B/Soul,6,2025-02-26,9,2025
6,Flowers,Post Malone,Pop,20,2025-02-26,9,2025
7,Flowers,Taylor Swift,Pop,12,2025-02-26,9,2025
8,Anti-Hero,Taylor Swift,Pop,3,2025-02-26,9,2025
9,Break My Soul,Morgan Wallen,Rock,8,2025-02-26,9,2025
10,Break My Soul,Taylor Swift,R&B/Soul,4,2025-02-26,9,2025
11,About Damn Time,Justin Bieber,Hip-Hop/Rap,9,2025-02-26,9,2025
12,Anti-Hero,Post Malone,Pop,4,2025-02-26,9,2025
13,Flowers,Billie Eilish,Hip-Hop/Rap,3,2025-02-26,9,2025
14,Last Night,Kendrick Lamar,Pop,12,2025-02-26,9,2025
15,About Damn Time,Billie Eilish,Pop,2,2025-02-26,9,2025
16,Flowers,Kendrick Lamar,Rock,11,2025-02-26,9,2025
17,Unholy,Harry Styles,Pop,13,2025-02-26,9,2025
18,Vampire,Ariana Grande,Rock,6,2025-02-26,9,2025
19,Unholy,Post Malone,Pop,11,2025-02-26,9,2025
20,About Damn Time,Lizzo,Rock,19,2025-02-26,9,2025
21,Kill Bill,Taylor Swift,R&B/Soul,4,2025-02-26,9,2025
22,Hold Me Closer,Ariana Grande,R&B/Soul,8,2025-02-26,9,2025
23,Late Night Talking,Morgan Wallen,R&B/Soul,14,2025-02-26,9,2025
24,Hold Me Closer,Kendrick Lamar,Hip-Hop/Rap,20,2025-02-26,9,2025
25,Hold Me Closer,Blackpink,Hip-Hop/Rap,2,2025-02-26,9,2025
26,Kill Bill,Drake,Pop,13,2025-02-26,9,2025
27,Unholy,Justin Bieber,R&B/Soul,1,2025-02-26,9,2025
28,Last Night,Ed Sheeran,Pop,3,2025-02-26,9,2025
29,Pink Venom,Blackpink,R&B/Soul,18,2025-02-26,9,2025
30,Dynamite,Bad Bunny,Pop,15,2025-02-26,9,2025
31,About Damn Time,BTS,Pop,7,2025-02-26,9,2025
32,About Damn Time,Ariana Grande,Hip-Hop/Rap,15,2025-02-26,9,2025
33,Flowers,BTS,Pop,18,2025-02-26,9,2025
34,Late Night Talking,Kendrick Lamar,Hip-Hop/Rap,10,2025-02-26,9,2025
35,Dynamite,Post Malone,Pop,19,2025-02-26,9,2025
36,Vampire,Harry Styles,R&B/Soul,10,2025-02-26,9,2025
37,As It Was,Post Malone,Hip-Hop/Rap,4,2025-02-26,9,2025
38,Vampire,Ed Sheeran,R&B/Soul,7,2025-02-26,9,2025
39,Late Night Talking,Kendrick Lamar,Country,18,2025-02-26,9,2025
40,Hold Me Closer,Morgan Wallen,Country,14,2025-02-26,9,2025
41,Kill Bill,Ariana Grande,Country,16,2025-02-26,9,2025
42,HUMBLE.,Blackpink,Hip-Hop/Rap,18,2025-02-26,9,2025
43,Hold Me Closer,Justin Bieber,Pop,8,2025-02-26,9,2025
44,Pink Venom,Taylor Swift,Rock,8,2025-02-26,9,2025
45,Vampire,Harry Styles,Country,4,2025-02-26,9,2025
46,Hold Me Closer,Billie Eilish,Rock,10,2025-02-26,9,2025
47,Flowers,Ariana Grande,Pop,3,2025-02-26,9,2025
48,Pink Venom,The Weeknd,Pop,8,2025-02-26,9,2025
49,Anti-Hero,Taylor Swift,Pop,2,2025-02-26,9,2025
50,As It Was,Doja Cat,Pop,9,2025-02-26,9,2025
51,Break My Soul,Dua Lipa,R&B/Soul,12,2025-02-26,9,2025
52,Flowers,BTS,Pop,3,2025-02-26,9,2025
53,Anti-Hero,Harry Styles,Country,4,2025-02-26,9,2025
54,As It Was,Morgan Wallen,Pop,5,2025-02-26,9,2025
55,Break My Soul,Lizzo,R&B/Soul,14,2025-02-26,9,2025
56,About Damn Time,Justin Bieber,Rock,20,2025-02-26,9,2025
57,Hold Me Closer,Miley Cyrus,Pop,19,2025-02-26,9,2025
58,HUMBLE.,Taylor Swift,Rock,14,2025-02-26,9,2025
59,Hold Me Closer,Lizzo,R&B/Soul,20,2025-02-26,9,2025
60,Unholy,Bad Bunny,R&B/Soul,4,2025-02-26,9,2025
61,Break My Soul,Doja Cat,R&B/Soul,11,2025-02-26,9,2025
62,Anti-Hero,Kendrick Lamar,Pop,4,2025-02-26,9,2025
63,As It Was,Kendrick Lamar,Country,14,2025-02-26,9,2025
64,Unholy,Drake,Alternative,6,2025-02-26,9,2025
65,Unholy,The Weeknd,Pop,2,2025-02-26,9,2025
66,HUMBLE.,Justin Bieber,Country,1,2025-02-26,9,2025
67,Pink Venom,Bad Bunny,R&B/Soul,15,2025-02-26,9,2025
68,About Damn Time,Kendrick Lamar,R&B/Soul,15,2025-02-26,9,2025
69,HUMBLE.,The Weeknd,R&B/Soul,10,2025-02-26,9,2025
70,Unholy,Miley Cyrus,Country,1,2025-02-26,9,2025
71,As It Was,Lil Baby,R&B/Soul,16,2025-02-26,9,2025
72,Anti-Hero,Kendrick Lamar,Country,18,2025-02-26,9,2025
73,About Damn Time,Lil Baby,Alternative,19,2025-02-26,9,2025
74,Kill Bill,Lizzo,R&B/Soul,19,2025-02-26,9,2025
75,HUMBLE.,Bad Bunny,Country,1,2025-02-26,9,2025
76,Dynamite,Morgan Wallen,R&B/Soul,4,2025-02-26,9,2025
77,Flowers,Olivia Rodrigo,Hip-Hop/Rap,7,2025-02-26,9,2025
78,Kill Bill,Drake,Alternative,18,2025-02-26,9,2025
79,Late Night Talking,Bad Bunny,R&B/Soul,7,2025-02-26,9,2025
80,HUMBLE.,Olivia Rodrigo,Alternative,7,2025-02-26,9,2025
81,Late Night Talking,Lizzo,Country,4,2025-02-26,9,2025
82,Hold Me Closer,Miley Cyrus,Pop,15,2025-02-26,9,2025
83,Late Night Talking,Bad Bunny,Country,5,2025-02-26,9,2025
84,Flowers,Kendrick Lamar,Country,5,2025-02-26,9,2025
85,Pink Venom,Blackpink,Hip-Hop/Rap,17,2025-02-26,9,2025
86,Kill Bill,Doja Cat,Alternative,12,2025-02-26,9,2025
87,Break My Soul,Drake,R&B/Soul,13,2025-02-26,9,2025
88,Unholy,Bad Bunny,Pop,9,2025-02-26,9,2025
89,Last Night,Harry Styles,Country,4,2025-02-26,9,2025
90,Late Night Talking,Lil Baby,Pop,7,2025-02-26,9,2025
91,As It Was,Dua Lipa,Country,9,2025-02-26,9,2025
92,Pink Venom,Morgan Wallen,Hip-Hop/Rap,4,2025-02-26,9,2025
93,As It Was,Billie Eilish,Alternative,1,2025-02-26,9,2025
94,Dynamite,Dua Lipa,Country,14,2025-02-26,9,2025
95,Last Night,Kendrick Lamar,Rock,7,2025-02-26,9,2025
96,About Damn Time,The Weeknd,Hip-Hop/Rap,14,2025-02-26,9,2025
97,Break My Soul,Ariana Grande,Country,5,2025-02-26,9,2025
98,Dynamite,Lizzo,Alternative,9,2025-02-26,9,2025
99,Vampire,Harry Styles,Country,2,2025-02-26,9,2025
100,As It Was,Ariana Grande,R&B/Soul,15,2025-02-26,9,2025
1,Dynamite,Taylor Swift,Pop,11,2025-03-05,10,2025
2,Kill Bill,Dua Lipa,R&B/Soul,3,2025-03-05,10,2025
3,Dynamite,Kendrick Lamar,Hip-Hop/Rap,16,2025-03-05,10,2025
4,Pink Venom,Taylor Swift,R&B/Soul,14,2025-03-05,10,2025
5,Pink Venom,Kendrick Lamar,R&B/Soul,19,2025-03-05,10,2025
6,Hold Me Closer,Kendrick Lamar,Pop,12,2025-03-05,10,2025
7,Break My Soul,Dua Lipa,Rock,19,2025-03-05,10,2025
8,Late Night Talking,Olivia Rodrigo,Rock,15,2025-03-05,10,2025
9,Kill Bill,Olivia Rodrigo,Pop,10,2025-03-05,10,2025
10,Hold Me Closer,Morgan Wallen,R&B/Soul,19,2025-03-05,10,2025
11,About Damn Time,Drake,Hip-Hop/Rap,13,2025-03-05,10,2025
12,Unholy,Justin Bieber,R&B/Soul,20,2025-03-05,10,2025
13,Late Night Talking,The Weeknd,R&B/Soul,12,2025-03-05,10,2025
14,Hold Me Closer,Lil Baby,R&B/Soul,17,2025-03-05,10,2025
15,Flowers,Miley Cyrus,Hip-Hop/Rap,12,2025-03-05,10,2025
16,Hold Me Closer,Harry Styles,R&B/Soul,12,2025-03-05,10,2025
17,Last Night,Drake,Pop,4,2025-03-05,10,2025
18,Late Night Talking,Billie Eilish,R&B/Soul,15,2025-03-05,10,2025
19,Flowers,Ed Sheeran,Hip-Hop/Rap,9,2025-03-05,10,2025
20,Flowers,Lizzo,Hip-Hop/Rap,2,2025-03-05,10,2025
21,Dynamite,Ed Sheeran,Pop,13,2025-03-05,10,2025
22,HUMBLE.,Bad Bunny,Hip-Hop/Rap,8,2025-03-05,10,2025
23,Hold Me Closer,Olivia Rodrigo,R&B/Soul,2,2025-03-05,10,2025
24,Late Night Talking,Post Malone,R&B/Soul,18,2025-03-05,10,2025
25,Anti-Hero,Lil Baby,Pop,5,2025-03-05,10,2025
26,Flowers,Doja Cat,Pop,12,2025-03-05,10,2025
27,Kill Bill,Drake,Country,5,2025-03-05,10,2025
28,Unholy,Billie Eilish,Hip-Hop/Rap,2,2025-03-05,10,2025
29,Hold Me Closer,Taylor Swift,R&B/Soul,2,2025-03-05,10,2025
30,Late Night Talking,Lil Baby,Pop,20,2025-03-05,10,2025
31,Unholy,Morgan Wallen,Pop,19,2025-03-05,10,2025
32,Pink Venom,Taylor Swift,R&B/Soul,3,2025-03-05,10,2025
33,Hold Me Closer,Billie Eilish,Rock,19,2025-03-05,10,2025
34,Hold Me Closer,Kendrick Lamar,Hip-Hop/Rap,3,2025-03-05,10,2025
35,Anti-Hero,Doja Cat,Rock,5,2025-03-05,10,2025
36,Hold Me Closer,Kendrick Lamar,Hip-Hop/Rap,16,2025-03-05,10,2025
37,Vampire,Justin Bieber,Pop,16,2025-03-05,10,2025
38,About Damn Time,Doja Cat,Hip-Hop/Rap,14,2025-03-05,10,2025
39,Break My Soul,Post Malone,Pop,10,2025-03-05,10,2025
40,Last Night,Morgan Wallen,Hip-Hop/Rap,16,2025-03-05,10,2025
41,Dynamite,Post Malone,Hip-Hop/Rap,7,2025-03-05,10,2025
42,Hold Me Closer,BTS,Hip-Hop/Rap,12,2025-03-05,10,2025
43,HUMBLE.,Ariana Grande,Hip-Hop/Rap,8,2025-03-05,10,2025
44,Hold Me Closer,Ed Sheeran,Hip-Hop/Rap,8,2025-03-05,10,2025
45,About Damn Time,The Weeknd,Pop,6,2025-03-05,10,2025
46,Kill Bill,Post Malone,R&B/Soul,3,2025-03-05,10,2025
47,Last Night,Miley Cyrus,Pop,12,2025-03-05,10,2025
48,About Damn Time,Justin Bieber,R&B/Soul,17,2025-03-05,10,2025
49,About Damn Time,Lizzo,Pop,4,2025-03-05,10,2025
50,About Damn Time,Lizzo,Hip-Hop/Rap,11,2025-03-05,10,2025
51,Hold Me Closer,Lizzo,R&B/Soul,20,2025-03-05,10,2025
52,Late Night Talking,Justin Bieber,R&B/Soul,8,2025-03-05,10,2025
53,HUMBLE.,Post Malone,Pop,15,2025-03-05,10,2025
54,Last Night,Lizzo,Pop,18,2025-03-05,10,2025
55,Vampire,Ariana Grande,Hip-Hop/Rap,19,2025-03-05,10,2025
56,Hold Me Closer,BTS,Alternative,8,2025-03-05,10,2025
57,Kill Bill,Lizzo,R&B/Soul,6,2025-03-05,10,2025
