rank,title,artist,genre,weeks_on_chart,date
41,Vampire,Olivia Rodrigo,Pop,4,2024-10-23
42,Super Shy,NewJeans,K-Pop,12,2024-10-23
43,Til You Can't,Cody Johnson,Country,7,2024-10-23
44,Hold On,Justin Bieber,Pop,15,2024-10-23
45,The Box,Roddy Ricch,Hip-Hop/Rap,3,2024-10-23
46,The Box,Roddy Ricch,Hip-Hop/Rap,14,2024-10-23
47,Anti-Hero,Taylor Swift,Pop,7,2024-10-23
48,Cold Heart,Elton John & Dua Lipa,Electronic/Dance,5,2024-10-23
49,About Damn Time,Lizzo,Pop,8,2024-10-23
50,God's Plan,Drake,Hip-Hop/Rap,5,2024-10-23
51,Good Days,SZA,R&B/Soul,1,2024-10-23
52,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,1,2024-10-23
53,Vampire,Olivia Rodrigo,Pop,8,2024-10-23
54,Moscow Mule,Bad Bunny,Latin,3,2024-10-23
55,Circles,Post Malone,Alternative,2,2024-10-23
56,Circles,Post Malone,Alternative,7,2024-10-23
57,Vampire,Olivia Rodrigo,Pop,3,2024-10-23
58,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,5,2024-10-23
59,OMG,NewJeans,K-Pop,1,2024-10-23
60,CUFF IT,Beyoncé,R&B/Soul,5,2024-10-23
61,Moscow Mule,Bad Bunny,Latin,6,2024-10-23
62,Butter,BTS,K-Pop,4,2024-10-23
63,Levitating,Dua Lipa,Electronic/Dance,1,2024-10-23
64,El Apagón,Bad Bunny,Latin,5,2024-10-23
65,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,1,2024-10-23
66,Party,Bad Bunny & Rauw Alejandro,Latin,4,2024-10-23
67,IDGAF,Dua Lipa,Electronic/Dance,7,2024-10-23
68,Anti-Hero,Taylor Swift,Pop,5,2024-10-23
69,Vampire,Olivia Rodrigo,Pop,8,2024-10-23
70,Anti-Hero,Taylor Swift,Pop,4,2024-10-23
71,Physical,Dua Lipa,Electronic/Dance,5,2024-10-23
72,Bohemian Rhapsody,Queen,Rock,2,2024-10-23
73,Go Flex,Post Malone,Alternative,5,2024-10-23
74,Vampire,Olivia Rodrigo,Pop,2,2024-10-23
75,La Corriente,Bad Bunny & Tony Dize,Latin,4,2024-10-23
76,Last Night,Morgan Wallen,Country,6,2024-10-23
77,The Box,Roddy Ricch,Hip-Hop/Rap,4,2024-10-23
78,Break My Soul,Beyoncé,Pop,1,2024-10-23
79,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,3,2024-10-23
80,Andrea,Bad Bunny & Buscabulla,Latin,8,2024-10-23
81,El Apagón,Bad Bunny,Latin,8,2024-10-23
82,Break My Heart,Dua Lipa,Electronic/Dance,5,2024-10-23
83,Smells Like Teen Spirit,Nirvana,Rock,3,2024-10-23
84,Hold On,Justin Bieber,Pop,6,2024-10-23
85,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,1,2024-10-23
86,Congratulations,Post Malone ft. Quavo,Pop,4,2024-10-23
87,Anti-Hero,Taylor Swift,Pop,6,2024-10-23
88,Late Night Talking,Harry Styles,Pop,1,2024-10-23
89,Moscow Mule,Bad Bunny,Latin,4,2024-10-23
90,God's Plan,Drake,Hip-Hop/Rap,1,2024-10-23
91,About Damn Time,Lizzo,Pop,1,2024-10-23
92,Unholy,Sam Smith & Kim Petras,Pop,1,2024-10-23
93,Wonderwall,Oasis,Rock,8,2024-10-23
94,Super Shy,NewJeans,K-Pop,5,2024-10-23
95,Hold On,Justin Bieber,Pop,4,2024-10-23
96,Better Now,Post Malone,Alternative,4,2024-10-23
97,Late Night Talking,Harry Styles,Pop,6,2024-10-23
98,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,5,2024-10-23
99,She Had Me At Heads Carolina,Cole Swindell,Country,5,2024-10-23
100,Hold On,Justin Bieber,Pop,4,2024-10-23
1,Seven Nation Army,The White Stripes,Rock,18,2024-10-30
2,If I Was a Cowboy,Miranda Lambert,Country,21,2024-10-30
3,Rich Flex,Drake & 21 Savage,R&B/Soul,17,2024-10-30
4,Blinding Lights,The Weeknd,Alternative,22,2024-10-30
5,Hold Me Closer,Elton John & Britney Spears,Pop,25,2024-10-30
6,Last Night,Morgan Wallen,Country,12,2024-10-30
7,White Iverson,Post Malone,Alternative,18,2024-10-30
8,Congratulations,Post Malone ft. Quavo,Pop,9,2024-10-30
9,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,17,2024-10-30
10,El Apagón,Bad Bunny,Latin,14,2024-10-30
11,Butter,BTS,K-Pop,11,2024-10-30
12,She Had Me At Heads Carolina,Cole Swindell,Country,10,2024-10-30
13,ETA,NewJeans,K-Pop,14,2024-10-30
14,Til You Can't,Cody Johnson,Country,11,2024-10-30
15,The Kind of Love We Make,Luke Combs,Country,14,2024-10-30
16,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,7,2024-10-30
17,Wild as Her,Corey Kent,Country,10,2024-10-30
18,Hotel California,Eagles,Rock,14,2024-10-30
19,Physical,Dua Lipa,Electronic/Dance,6,2024-10-30
20,Hype Boy,NewJeans,K-Pop,3,2024-10-30
21,Break My Soul,Beyoncé,Pop,7,2024-10-30
22,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,5,2024-10-30
23,Sunflower,Post Malone & Swae Lee,Pop,11,2024-10-30
24,Break My Soul,Beyoncé,Pop,3,2024-10-30
25,Hold Me Closer,Elton John & Britney Spears,Pop,3,2024-10-30
26,Psycho,Post Malone ft. Ty Dolla $ign,Alternative,4,2024-10-30
27,Kill Bill,SZA,R&B/Soul,11,2024-10-30
28,La Corriente,Bad Bunny & Tony Dize,Latin,5,2024-10-30
29,Calm Down,Rema & Selena Gomez,R&B/Soul,12,2024-10-30
30,Break My Heart,Dua Lipa,Electronic/Dance,11,2024-10-30
31,Dynamite,BTS,K-Pop,3,2024-10-30
32,We Found Love,Rihanna ft. Calvin Harris,Electronic/Dance,14,2024-10-30
33,Ditto,NewJeans,K-Pop,6,2024-10-30
34,Break My Heart,Dua Lipa,Electronic/Dance,9,2024-10-30
35,Late Night Talking,Harry Styles,Pop,3,2024-10-30
36,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,13,2024-10-30
37,"Going, Going, Gone",Luke Combs,Country,13,2024-10-30
38,Essence,WizKid ft. Tems,R&B/Soul,7,2024-10-30
39,Kill Bill,SZA,R&B/Soul,5,2024-10-30
40,Break My Heart,Dua Lipa,Electronic/Dance,15,2024-10-30
41,Wild as Her,Corey Kent,Country,12,2024-10-30
42,The Box,Roddy Ricch,Hip-Hop/Rap,5,2024-10-30
43,Break My Heart,Dua Lipa,Electronic/Dance,15,2024-10-30
44,In Da Club,50 Cent,Hip-Hop/Rap,14,2024-10-30
45,About Damn Time,Lizzo,Pop,7,2024-10-30
46,The Kind of Love We Make,Luke Combs,Country,8,2024-10-30
47,The Kind of Love We Make,Luke Combs,Country,5,2024-10-30
48,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,13,2024-10-30
49,Die For You,The Weeknd,R&B/Soul,7,2024-10-30
50,Late Night Talking,Harry Styles,Pop,5,2024-10-30
51,The Kind of Love We Make,Luke Combs,Country,1,2024-10-30
52,IDGAF,Dua Lipa,Electronic/Dance,3,2024-10-30
53,Thought You Should Know,Morgan Wallen,Country,4,2024-10-30
54,The Kind of Love We Make,Luke Combs,Country,4,2024-10-30
55,Break My Soul,Beyoncé,Pop,7,2024-10-30
56,Congratulations,Post Malone ft. Quavo,Pop,6,2024-10-30
57,Flowers,Miley Cyrus,Pop,5,2024-10-30
58,Anti-Hero,Taylor Swift,Pop,8,2024-10-30
59,Blinding Lights,The Weeknd,Alternative,3,2024-10-30
60,Rich Flex,Drake & 21 Savage,R&B/Soul,6,2024-10-30
61,Zombie,The Cranberries,Rock,8,2024-10-30
62,"Going, Going, Gone",Luke Combs,Country,5,2024-10-30
63,Thought You Should Know,Morgan Wallen,Country,1,2024-10-30
64,CUFF IT,Beyoncé,R&B/Soul,2,2024-10-30
65,In Da Club,50 Cent,Hip-Hop/Rap,4,2024-10-30
66,Physical,Dua Lipa,Electronic/Dance,3,2024-10-30
67,Después de la Playa,Bad Bunny,Latin,2,2024-10-30
68,Anti-Hero,Taylor Swift,Pop,2,2024-10-30
69,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,1,2024-10-30
70,Moscow Mule,Bad Bunny,Latin,4,2024-10-30
71,Party,Bad Bunny & Rauw Alejandro,Latin,1,2024-10-30
72,The Kind of Love We Make,Luke Combs,Country,6,2024-10-30
73,Kill Bill,SZA,R&B/Soul,3,2024-10-30
74,Good Days,SZA,R&B/Soul,2,2024-10-30
75,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,3,2024-10-30
76,Running Up That Hill,Kate Bush,Rock,2,2024-10-30
77,Good Days,SZA,R&B/Soul,6,2024-10-30
78,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,7,2024-10-30
79,Late Night Talking,Harry Styles,Pop,2,2024-10-30
80,Late Night Talking,Harry Styles,Pop,3,2024-10-30
81,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,8,2024-10-30
82,Psycho,Post Malone ft. Ty Dolla $ign,Alternative,7,2024-10-30
83,Essence,WizKid ft. Tems,R&B/Soul,8,2024-10-30
84,Last Night,Morgan Wallen,Country,2,2024-10-30
85,Circles,Post Malone,Alternative,5,2024-10-30
86,Shirt,SZA,R&B/Soul,7,2024-10-30
87,Sweet Child O' Mine,Guns N' Roses,Rock,3,2024-10-30
88,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,7,2024-10-30
89,About Damn Time,Lizzo,Pop,2,2024-10-30
90,Essence,WizKid ft. Tems,R&B/Soul,2,2024-10-30
91,Wild as Her,Corey Kent,Country,8,2024-10-30
92,Break My Soul,Beyoncé,Pop,4,2024-10-30
93,Hold Me Closer,Elton John & Britney Spears,Pop,5,2024-10-30
94,God's Plan,Drake,Hip-Hop/Rap,3,2024-10-30
95,Ditto,NewJeans,K-Pop,5,2024-10-30
96,Me Porto Bonito,Bad Bunny & Chencho Corleone,Latin,3,2024-10-30
97,Cold Heart,Elton John & Dua Lipa,Electronic/Dance,6,2024-10-30
98,Shirt,SZA,R&B/Soul,8,2024-10-30
99,Bad Guy,Billie Eilish,Alternative,6,2024-10-30
100,As It Was,Harry Styles,Pop,6,2024-10-30
1,Congratulations,Post Malone ft. Quavo,Pop,10,2024-11-06
2,The Box,Roddy Ricch,Hip-Hop/Rap,11,2024-11-06
3,Andrea,Bad Bunny & Buscabulla,Latin,21,2024-11-06
4,Hold On,Justin Bieber,Pop,25,2024-11-06
5,Sunflower,Post Malone & Swae Lee,Pop,16,2024-11-06
6,Good Days,SZA,R&B/Soul,20,2024-11-06
7,Sunflower,Post Malone & Swae Lee,Pop,22,2024-11-06
8,Party,Bad Bunny & Rauw Alejandro,Latin,22,2024-11-06
9,Wild as Her,Corey Kent,Country,18,2024-11-06
10,Break My Heart,Dua Lipa,Electronic/Dance,23,2024-11-06
11,"Going, Going, Gone",Luke Combs,Country,4,2024-11-06
12,Rich Flex,Drake & 21 Savage,R&B/Soul,11,2024-11-06
13,The Box,Roddy Ricch,Hip-Hop/Rap,7,2024-11-06
14,Running Up That Hill,Kate Bush,Rock,8,2024-11-06
15,The Kind of Love We Make,Luke Combs,Country,10,2024-11-06
16,Hold On,Justin Bieber,Pop,14,2024-11-06
17,Thought You Should Know,Morgan Wallen,Country,6,2024-11-06
18,Ditto,NewJeans,K-Pop,6,2024-11-06
19,About Damn Time,Lizzo,Pop,4,2024-11-06
20,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,15,2024-11-06
21,Flowers,Miley Cyrus,Pop,14,2024-11-06
22,Psycho,Post Malone ft. Ty Dolla $ign,Alternative,14,2024-11-06
23,Kill Bill,SZA,R&B/Soul,7,2024-11-06
24,As It Was,Harry Styles,Pop,10,2024-11-06
25,Butter,BTS,K-Pop,12,2024-11-06
26,If I Was a Cowboy,Miranda Lambert,Country,8,2024-11-06
27,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,9,2024-11-06
28,White Iverson,Post Malone,Alternative,5,2024-11-06
29,IDGAF,Dua Lipa,Electronic/Dance,9,2024-11-06
30,As It Was,Harry Styles,Pop,9,2024-11-06
31,Til You Can't,Cody Johnson,Country,12,2024-11-06
32,Smells Like Teen Spirit,Nirvana,Rock,15,2024-11-06
33,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,14,2024-11-06
34,Wild as Her,Corey Kent,Country,5,2024-11-06
35,Seven Nation Army,The White Stripes,Rock,4,2024-11-06
36,Bohemian Rhapsody,Queen,Rock,15,2024-11-06
37,New Jeans,NewJeans,K-Pop,15,2024-11-06
38,Bohemian Rhapsody,Queen,Rock,12,2024-11-06
39,Shut Down,BLACKPINK,K-Pop,14,2024-11-06
40,Go Flex,Post Malone,Alternative,8,2024-11-06
41,Break My Soul,Beyoncé,Pop,12,2024-11-06
42,If I Was a Cowboy,Miranda Lambert,Country,6,2024-11-06
43,New Rules,Dua Lipa,Electronic/Dance,8,2024-11-06
44,Congratulations,Post Malone ft. Quavo,Pop,14,2024-11-06
45,Better Now,Post Malone,Alternative,10,2024-11-06
46,Moscow Mule,Bad Bunny,Latin,14,2024-11-06
47,You Proof,Morgan Wallen,Country,5,2024-11-06
48,Hold On,Justin Bieber,Pop,11,2024-11-06
49,As It Was,Harry Styles,Pop,8,2024-11-06
50,Ditto,NewJeans,K-Pop,5,2024-11-06
51,Flowers,Miley Cyrus,Pop,2,2024-11-06
52,Me Porto Bonito,Bad Bunny & Chencho Corleone,Latin,2,2024-11-06
53,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,6,2024-11-06
54,Physical,Dua Lipa,Electronic/Dance,3,2024-11-06
55,"Going, Going, Gone",Luke Combs,Country,4,2024-11-06
56,The Box,Roddy Ricch,Hip-Hop/Rap,1,2024-11-06
57,Unholy,Sam Smith & Kim Petras,Pop,6,2024-11-06
58,Unholy,Sam Smith & Kim Petras,Pop,2,2024-11-06
59,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,1,2024-11-06
60,Smells Like Teen Spirit,Nirvana,Rock,1,2024-11-06
61,Wild as Her,Corey Kent,Country,1,2024-11-06
62,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,2,2024-11-06
63,White Iverson,Post Malone,Alternative,7,2024-11-06
64,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,3,2024-11-06
65,We Found Love,Rihanna ft. Calvin Harris,Electronic/Dance,4,2024-11-06
66,In Da Club,50 Cent,Hip-Hop/Rap,8,2024-11-06
67,Después de la Playa,Bad Bunny,Latin,7,2024-11-06
68,She Had Me At Heads Carolina,Cole Swindell,Country,3,2024-11-06
69,Don't Start Now,Dua Lipa,Electronic/Dance,1,2024-11-06
70,Late Night Talking,Harry Styles,Pop,1,2024-11-06
71,Late Night Talking,Harry Styles,Pop,5,2024-11-06
72,Shut Down,BLACKPINK,K-Pop,3,2024-11-06
73,Tití Me Preguntó,Bad Bunny,Latin,5,2024-11-06
74,Lift Me Up,Rihanna,R&B/Soul,1,2024-11-06
75,Hold Me Closer,Elton John & Britney Spears,Pop,1,2024-11-06
76,New Rules,Dua Lipa,Electronic/Dance,1,2024-11-06
77,Dynamite,BTS,K-Pop,4,2024-11-06
78,Good Days,SZA,R&B/Soul,2,2024-11-06
79,Hold Me Closer,Elton John & Britney Spears,Pop,7,2024-11-06
80,Rich Flex,Drake & 21 Savage,R&B/Soul,2,2024-11-06
81,Running Up That Hill,Kate Bush,Rock,5,2024-11-06
82,Sweet Child O' Mine,Guns N' Roses,Rock,3,2024-11-06
83,About Damn Time,Lizzo,Pop,1,2024-11-06
84,Vampire,Olivia Rodrigo,Pop,4,2024-11-06
85,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,6,2024-11-06
86,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,4,2024-11-06
87,Hype Boy,NewJeans,K-Pop,8,2024-11-06
88,Ojitos Lindos,Bad Bunny & Bomba Estéreo,Latin,8,2024-11-06
89,The Kind of Love We Make,Luke Combs,Country,3,2024-11-06
90,CUFF IT,Beyoncé,R&B/Soul,7,2024-11-06
91,Calm Down,Rema & Selena Gomez,R&B/Soul,3,2024-11-06
92,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,6,2024-11-06
93,Good Days,SZA,R&B/Soul,2,2024-11-06
94,La Corriente,Bad Bunny & Tony Dize,Latin,6,2024-11-06
95,I Fall Apart,Post Malone,Alternative,4,2024-11-06
96,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,2,2024-11-06
97,Shirt,SZA,R&B/Soul,5,2024-11-06
98,We Found Love,Rihanna ft. Calvin Harris,Electronic/Dance,4,2024-11-06
99,Running Up That Hill,Kate Bush,Rock,7,2024-11-06
100,In Da Club,50 Cent,Hip-Hop/Rap,5,2024-11-06
1,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,19,2024-11-13
2,Me Porto Bonito,Bad Bunny & Chencho Corleone,Latin,20,2024-11-13
3,Wonderwall,Oasis,Rock,13,2024-11-13
4,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,24,2024-11-13
5,Hold Me Closer,Elton John & Britney Spears,Pop,21,2024-11-13
6,Wild as Her,Corey Kent,Country,24,2024-11-13
7,Late Night Talking,Harry Styles,Pop,19,2024-11-13
8,She Had Me At Heads Carolina,Cole Swindell,Country,24,2024-11-13
9,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,25,2024-11-13
10,Kill Bill,SZA,R&B/Soul,17,2024-11-13
11,Levitating,Dua Lipa,Electronic/Dance,13,2024-11-13
12,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,5,2024-11-13
13,El Apagón,Bad Bunny,Latin,5,2024-11-13
14,Blinding Lights,The Weeknd,Alternative,6,2024-11-13
15,Super Shy,NewJeans,K-Pop,10,2024-11-13
16,Die For You,The Weeknd,R&B/Soul,14,2024-11-13
17,Seven Nation Army,The White Stripes,Rock,7,2024-11-13
18,Anti-Hero,Taylor Swift,Pop,5,2024-11-13
19,Sunflower,Post Malone & Swae Lee,Pop,11,2024-11-13
20,Essence,WizKid ft. Tems,R&B/Soul,4,2024-11-13
21,Break My Heart,Dua Lipa,Electronic/Dance,7,2024-11-13
22,Efecto,Bad Bunny,Latin,9,2024-11-13
23,CUFF IT,Beyoncé,R&B/Soul,5,2024-11-13
24,The Kind of Love We Make,Luke Combs,Country,15,2024-11-13
25,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,6,2024-11-13
26,About Damn Time,Lizzo,Pop,5,2024-11-13
27,Late Night Talking,Harry Styles,Pop,3,2024-11-13
28,OMG,NewJeans,K-Pop,13,2024-11-13
29,Running Up That Hill,Kate Bush,Rock,14,2024-11-13
30,Congratulations,Post Malone ft. Quavo,Pop,10,2024-11-13
31,Hotel California,Eagles,Rock,9,2024-11-13
32,Wild as Her,Corey Kent,Country,7,2024-11-13
33,Levitating,Dua Lipa,Electronic/Dance,9,2024-11-13
34,Kill Bill,SZA,R&B/Soul,5,2024-11-13
35,Congratulations,Post Malone ft. Quavo,Pop,4,2024-11-13
36,Kill Bill,SZA,R&B/Soul,11,2024-11-13
37,CUFF IT,Beyoncé,R&B/Soul,10,2024-11-13
38,Rich Flex,Drake & 21 Savage,R&B/Soul,13,2024-11-13
39,"Going, Going, Gone",Luke Combs,Country,8,2024-11-13
40,God's Plan,Drake,Hip-Hop/Rap,13,2024-11-13
41,New Jeans,NewJeans,K-Pop,14,2024-11-13
42,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,10,2024-11-13
43,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,8,2024-11-13
44,Rich Flex,Drake & 21 Savage,R&B/Soul,10,2024-11-13
45,Good Days,SZA,R&B/Soul,9,2024-11-13
46,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,5,2024-11-13
47,Hold Me Closer,Elton John & Britney Spears,Pop,10,2024-11-13
48,Butter,BTS,K-Pop,12,2024-11-13
49,Calm Down,Rema & Selena Gomez,R&B/Soul,7,2024-11-13
50,CUFF IT,Beyoncé,R&B/Soul,8,2024-11-13
51,Shut Down,BLACKPINK,K-Pop,6,2024-11-13
52,You Proof,Morgan Wallen,Country,7,2024-11-13
53,The Kind of Love We Make,Luke Combs,Country,6,2024-11-13
54,Til You Can't,Cody Johnson,Country,2,2024-11-13
55,ETA,NewJeans,K-Pop,8,2024-11-13
56,Wild as Her,Corey Kent,Country,3,2024-11-13
57,Rockstar,DaBaby ft. Roddy Ricch,Hip-Hop/Rap,7,2024-11-13
58,Sweet Child O' Mine,Guns N' Roses,Rock,8,2024-11-13
59,Unholy,Sam Smith & Kim Petras,Pop,8,2024-11-13
60,Super Shy,NewJeans,K-Pop,4,2024-11-13
61,Physical,Dua Lipa,Electronic/Dance,4,2024-11-13
62,Hold Me Closer,Elton John & Britney Spears,Pop,4,2024-11-13
63,Kill Bill,SZA,R&B/Soul,1,2024-11-13
64,Hold Me Closer,Elton John & Britney Spears,Pop,7,2024-11-13
65,Flowers,Miley Cyrus,Pop,5,2024-11-13
66,Break My Heart,Dua Lipa,Electronic/Dance,3,2024-11-13
67,Hype Boy,NewJeans,K-Pop,2,2024-11-13
68,Moscow Mule,Bad Bunny,Latin,1,2024-11-13
69,IDGAF,Dua Lipa,Electronic/Dance,3,2024-11-13
70,Good Days,SZA,R&B/Soul,1,2024-11-13
71,Physical,Dua Lipa,Electronic/Dance,8,2024-11-13
72,Break My Soul,Beyoncé,Pop,8,2024-11-13
73,Wild as Her,Corey Kent,Country,3,2024-11-13
74,In Da Club,50 Cent,Hip-Hop/Rap,3,2024-11-13
75,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,6,2024-11-13
76,As It Was,Harry Styles,Pop,3,2024-11-13
77,White Iverson,Post Malone,Alternative,3,2024-11-13
78,Rockstar,DaBaby ft. Roddy Ricch,Hip-Hop/Rap,8,2024-11-13
79,You Proof,Morgan Wallen,Country,6,2024-11-13
80,Shirt,SZA,R&B/Soul,4,2024-11-13
81,Die For You,The Weeknd,R&B/Soul,4,2024-11-13
82,About Damn Time,Lizzo,Pop,3,2024-11-13
83,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,6,2024-11-13
84,Rockstar,DaBaby ft. Roddy Ricch,Hip-Hop/Rap,5,2024-11-13
85,Smells Like Teen Spirit,Nirvana,Rock,7,2024-11-13
86,She Had Me At Heads Carolina,Cole Swindell,Country,2,2024-11-13
87,We Found Love,Rihanna ft. Calvin Harris,Electronic/Dance,6,2024-11-13
88,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,6,2024-11-13
89,Sunflower,Post Malone & Swae Lee,Pop,8,2024-11-13
90,Thought You Should Know,Morgan Wallen,Country,5,2024-11-13
91,In Da Club,50 Cent,Hip-Hop/Rap,1,2024-11-13
92,Ditto,NewJeans,K-Pop,7,2024-11-13
93,Flowers,Miley Cyrus,Pop,2,2024-11-13
94,Dynamite,BTS,K-Pop,3,2024-11-13
95,Last Night,Morgan Wallen,Country,8,2024-11-13
96,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,2,2024-11-13
97,Vampire,Olivia Rodrigo,Pop,1,2024-11-13
98,Last Night,Morgan Wallen,Country,1,2024-11-13
99,Break My Heart,Dua Lipa,Electronic/Dance,6,2024-11-13
100,Lift Me Up,Rihanna,R&B/Soul,6,2024-11-13
1,Lift Me Up,Rihanna,R&B/Soul,10,2024-11-20
2,I Fall Apart,Post Malone,Alternative,15,2024-11-20
3,In Da Club,50 Cent,Hip-Hop/Rap,16,2024-11-20
4,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,21,2024-11-20
5,We Found Love,Rihanna ft. Calvin Harris,Electronic/Dance,14,2024-11-20
6,Vampire,Olivia Rodrigo,Pop,23,2024-11-20
7,Anti-Hero,Taylor Swift,Pop,8,2024-11-20
8,Circles,Post Malone,Alternative,9,2024-11-20
9,Andrea,Bad Bunny & Buscabulla,Latin,14,2024-11-20
10,El Apagón,Bad Bunny,Latin,17,2024-11-20
11,New Jeans,NewJeans,K-Pop,11,2024-11-20
12,Moscow Mule,Bad Bunny,Latin,12,2024-11-20
13,Sunflower,Post Malone & Swae Lee,Pop,5,2024-11-20
14,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,14,2024-11-20
15,Good Days,SZA,R&B/Soul,3,2024-11-20
16,New Jeans,NewJeans,K-Pop,11,2024-11-20
17,New Jeans,NewJeans,K-Pop,3,2024-11-20
18,Vampire,Olivia Rodrigo,Pop,9,2024-11-20
19,Flowers,Miley Cyrus,Pop,3,2024-11-20
20,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,6,2024-11-20
21,Go Flex,Post Malone,Alternative,5,2024-11-20
22,Bohemian Rhapsody,Queen,Rock,9,2024-11-20
23,Después de la Playa,Bad Bunny,Latin,13,2024-11-20
24,Efecto,Bad Bunny,Latin,3,2024-11-20
25,You Proof,Morgan Wallen,Country,8,2024-11-20
26,You Proof,Morgan Wallen,Country,10,2024-11-20
27,You Proof,Morgan Wallen,Country,6,2024-11-20
28,Blinding Lights,The Weeknd,Alternative,11,2024-11-20
29,If I Was a Cowboy,Miranda Lambert,Country,3,2024-11-20
30,Die For You,The Weeknd,R&B/Soul,11,2024-11-20
31,Break My Soul,Beyoncé,Pop,13,2024-11-20
32,OMG,NewJeans,K-Pop,7,2024-11-20
33,We Found Love,Rihanna ft. Calvin Harris,Electronic/Dance,8,2024-11-20
34,I Fall Apart,Post Malone,Alternative,8,2024-11-20
35,Good Days,SZA,R&B/Soul,9,2024-11-20
36,Don't Start Now,Dua Lipa,Electronic/Dance,12,2024-11-20
37,Ojitos Lindos,Bad Bunny & Bomba Estéreo,Latin,12,2024-11-20
38,White Iverson,Post Malone,Alternative,5,2024-11-20
39,Savage,Megan Thee Stallion,Hip-Hop/Rap,12,2024-11-20
40,God's Plan,Drake,Hip-Hop/Rap,6,2024-11-20
41,Go Flex,Post Malone,Alternative,8,2024-11-20
42,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,4,2024-11-20
43,Vampire,Olivia Rodrigo,Pop,11,2024-11-20
44,Late Night Talking,Harry Styles,Pop,12,2024-11-20
45,The Box,Roddy Ricch,Hip-Hop/Rap,5,2024-11-20
46,OMG,NewJeans,K-Pop,9,2024-11-20
47,Break My Soul,Beyoncé,Pop,14,2024-11-20
48,Deja Vu,Post Malone,Alternative,12,2024-11-20
49,Break My Soul,Beyoncé,Pop,8,2024-11-20
50,Unholy,Sam Smith & Kim Petras,Pop,15,2024-11-20
51,Flowers,Miley Cyrus,Pop,7,2024-11-20
52,"Going, Going, Gone",Luke Combs,Country,1,2024-11-20
53,Psycho,Post Malone ft. Ty Dolla $ign,Alternative,5,2024-11-20
54,Hype Boy,NewJeans,K-Pop,8,2024-11-20
55,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,1,2024-11-20
56,Andrea,Bad Bunny & Buscabulla,Latin,5,2024-11-20
57,"Going, Going, Gone",Luke Combs,Country,8,2024-11-20
58,Creep,Radiohead,Rock,5,2024-11-20
59,Hold Me Closer,Elton John & Britney Spears,Pop,6,2024-11-20
60,Lift Me Up,Rihanna,R&B/Soul,8,2024-11-20
61,Anti-Hero,Taylor Swift,Pop,3,2024-11-20
62,Después de la Playa,Bad Bunny,Latin,5,2024-11-20
63,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,6,2024-11-20
64,White Iverson,Post Malone,Alternative,7,2024-11-20
